"Collection","docname","Tag","pattern","from","to","pre","keyword","post"
"Social Justice in Michigan Web Archive, 2010-2014","umich-bhl-2014034_1","subjects","GLBT",69,69,"Developmental disabilities ; Disability awareness ; Disabled veterans ; Environmental justice ; Ethnic communities . ; Gay rights ; Gays ; Gays ; Gays ;","GLBT","community of Michigan . ; Homeless persons ; Homosexuality ; Housing policy ; Human rights . ; Hunger . ; Islamophobia ; Lesbians ; Lesbians"
"Beth Bashert Papers, 1988-2010","umich-bhl-04105_2","bioghist","GLBT",23,23,"In 1996 , she participated in the planning for a recreational center for the gay , lesbian , bi-sexual , transgender (","GLBT",") community to be called the Jane Addams Memorial Center ."
"Triangle Foundation Records","umich-bhl-0092_3","bioghist","GLBT",23,23,"Staff monitor and respond to media coverage of relevant issues and offer training to members of the media on accurate coverage of","GLBT","issues ."
"Triangle Foundation Records","umich-bhl-0092_4","bioghist","GLBT",11,11,"The Foundation takes every opportunity to educate the public on","GLBT","issues ."
"Triangle Foundation Records","umich-bhl-0092_5","bioghist","GLBT",29,29,"is a also founding member of the National Coalition of Anti-Violence Programs ( NCAVP ) , which publishes a national survey of hate violence against","GLBT","people ."
"Kathleen Russell papers, 1997-2006","umich-bhl-2009149_6","bioghist","GLBT",37,37,"Tri-Pride , which is an organization of social work students and professionals committed to empowering gay , lesbian , bisexual , and transgendered people (","GLBT",") ."
"Kathleen Russell papers, 1997-2006","umich-bhl-2009149_7","scopecontent","GLBT",15,15,"The collection consists of three series : Ypsilanti Non-Discrimination Ordinance , Eastern Michigan University","GLBT","Activities , and Audio-visual Materials ."
"Kathleen Russell papers, 1997-2006","umich-bhl-2009149_8","abstract","GLBT",53,53,"collection documents her involvement in the campaign to pass a Non-Discrimination Ordinance in Ypsilanti , Michigan , and in establishing outreach and support organizations for","GLBT","youth ."
"Religious Communities of Michigan Web Archive, 2010-2014","umich-bhl-2014038_9","subjects","GLBT",108,108,"Economics ; Environmental justice ; Episcopalians ; Ethnic communities . ; Ethnic relations ; Faith . ; Freemasonry ; Gays ; Gays ; Gays ;","GLBT","community of Michigan . ; Housing policy ; Hurley , George W ."
"the Parents, Families and Friends of Lesbians and Gays (Detroit, Mich.)","umich-bhl-963_10","bioghist","GLBT",40,40,"called PFLAG ) established in 1986 by Bill and Harriet Dart as an informational support group for parents , friends , and allies of the","GLBT","community ."
"the parents, Families and Friends of Lesbians and Gays (Ann Arbor, Mich.) records","umich-bhl-9775_11","bioghist","GLBT",27,27,", Families and Friends of Lesbians and Gays ( PFLAG ) is a non-profit organization support and information group working on the behalf of the","GLBT","community and its family members , friends , and allies ."
"the parents, Families and Friends of Lesbians and Gays (Ann Arbor, Mich.) records","umich-bhl-9775_12","abstract","GLBT",25,25,"Parents , Families and Friends of Lesbians and Gays ( PFLAG ) Ann Arbor is a non-profit organization working on the behalf of the","GLBT","community and its family members and friends ."
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_13","subjects","GLBT",40,40,"activists ; Gay rights ; Gay teenagers ; Gay youth ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ;","GLBT","community of Michigan . ; Homosexuality ; Lesbian youth ; Lesbians ; Lesbians ; Lesbians ; Parents of gays ; Parents of gays ; Religion"
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_14","bioghist","GLBT",10,10,"Since 1968 , he has been active in the","GLBT","movement ."
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_15","scopecontent","GLBT",24,24,"The collection , spanning 40 years of John Kavanaugh's activism , documents both the history and challenges faced by the Michigan and national","GLBT","community , as well issues facing the area's racial and ethnic minorities ."
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_16","abstract","GLBT",6,6,"Detroit social activist involved in","GLBT","organizations and activities ."
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_146","bioghist","GLBT",44,44,"to 1972 ) ; a founding member and the first lay head of Metropolitan Community Church in Detroit ; a member of Integrity , the","GLBT","caucus within the Episcopal Church ; a member of the Detroit chapter of Black and White Men Together ( BWMT ) ; and a member"
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_148","abstract","GLBT",26,26,"The collection consists of correspondence , essays and articles , e-mails , conference materials , organizational records , publications and articles on the subjects of","GLBT","history , gay civil rights , gay marriage , interracial and interfaith marriage , GLBT families , sexual and gender equality , violence against GLBT"
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_148","abstract","GLBT",41,41,"organizational records , publications and articles on the subjects of GLBT history , gay civil rights , gay marriage , interracial and interfaith marriage ,","GLBT","families , sexual and gender equality , violence against GLBT persons , religion and homosexuality , gay clergy , clergy with AIDS , and violence"
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_148","abstract","GLBT",51,51,"GLBT history , gay civil rights , gay marriage , interracial and interfaith marriage , GLBT families , sexual and gender equality , violence against","GLBT","persons , religion and homosexuality , gay clergy , clergy with AIDS , and violence against GLBT persons ."
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_148","abstract","GLBT",68,68,", sexual and gender equality , violence against GLBT persons , religion and homosexuality , gay clergy , clergy with AIDS , and violence against","GLBT","persons ."
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_148","abstract","homosexuality",56,56,"rights , gay marriage , interracial and interfaith marriage , GLBT families , sexual and gender equality , violence against GLBT persons , religion and","homosexuality",", gay clergy , clergy with AIDS , and violence against GLBT persons ."
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_177","scopecontent","homosexuality",18,18,"Of most value , the collection provides documentation regarding the position of various denominations on questions of","homosexuality","and gay and interracial marriage ; racial and ethnic discrimination , and voters ' suppression based on race and ethnicity ."
"Forman G. Brown scrapbook.","umich-bhl-9795_237","bioghist","homosexuality",15,15,"Author of "" Better Angel , "" a 1933 novel on the subject of","homosexuality","published under the pseudonym Richard Meeker ."
"James W. Toy Papers","umich-bhl-9744_240","bioghist","homosexuality",15,15,"Beginning in 1971 , he served as a member of the diocesan commission on","homosexuality","; in 1975 , he helped establish a Detroit area chapter of Integrity , a gay Episcopal organization ; in 1976 , he became a"
"James W. Toy Papers","umich-bhl-9744_241","bioghist","homosexuality",57,57,"he needed as he decided in 1970 not only to lead a more open lifestyle but also to work to change attitudes and perceptions about","homosexuality","."
"Canterbury House, Ann Arbor, Mich. Records, 1930-2008","umich-bhl-0648_245","bioghist","homosexuality",21,21,"This group aimed to make LGBTQ students at the University feel accepted , especially by a religious institution , while","homosexuality","was still considered actively prosecuted by law in the United States ."
"James W. Toy Papers","umich-bhl-9744_247","bioghist","homosexuality",54,54,"a predominately heterosexual society "" and "" to help educate the University community and the community-at-large about the nature of sexuality and , specifically ,","homosexuality","; about the oppression that people endure ; and about the rights that gay people should enjoy . """
"Lemuel A. Johnson Papers, 1942-2002","umich-bhl-0574_248","bioghist","homosexuality",7,7,"He also studied the issue of","homosexuality","in African culture in < title render = "" italic "" > No Sweetness Here ? : ( dis ) Counting Homosexuality < / title"
"Social Justice in Michigan Web Archive, 2010-2014","umich-bhl-2014034_1","subjects","homosexuality",78,78,"Environmental justice ; Ethnic communities . ; Gay rights ; Gays ; Gays ; Gays ; GLBT community of Michigan . ; Homeless persons ;","Homosexuality","; Housing policy ; Human rights . ; Hunger . ; Islamophobia ; Lesbians ; Lesbians ; Mental health ; Mental health services ; Mental"
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_13","subjects","homosexuality",46,46,"teenagers ; Gay youth ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ; GLBT community of Michigan . ;","Homosexuality","; Lesbian youth ; Lesbians ; Lesbians ; Lesbians ; Parents of gays ; Parents of gays ; Religion . ; Runaway teenagers ; Same-sex"
"Michigan Organization for Human Rights Records","umich-bhl-85287_55","subjects","homosexuality",10,10,"Gay liberation movement ; Gay men ; Gays ;","Homosexuality","in radio ; Homosexuality ; Lesbians ; Radio broadcasting ; Demonstrations ; Gay rights . ; Homosexuals . ; Lesbians . ; Parades and processions"
"Michigan Organization for Human Rights Records","umich-bhl-85287_55","subjects","homosexuality",14,14,"Gay liberation movement ; Gay men ; Gays ; Homosexuality in radio ;","Homosexuality","; Lesbians ; Radio broadcasting ; Demonstrations ; Gay rights . ; Homosexuals . ; Lesbians . ; Parades and processions ; Parades and processions"
"Michigan Organization for Human Rights Records","umich-bhl-85287_55","subjects","homosexuality",52,52,"Homosexuals . ; Lesbians . ; Parades and processions ; Parades and processions ; Gayly speaking ( Radio program ) ; Gay liberation movement ;","Homosexuality",". ; Gays ; Lesbians . ; Public radio ; Radio programs"
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_59","subjects","homosexuality",9,9,"Catholics ; Episcopalians ; Gay liberation movement ;","Homosexuality","; Local transit ; Same-sex marriage . ; Transportation"
"Lavender Information and Library Association records, 1989-2008","umich-bhl-9916_72","subjects","homosexuality",7,7,"Gay college students ; Gays ;","Homosexuality","; Lesbians ; Sexual orientation ; Libraries"
"Spectrum Center records","umich-bhl-02139_80","subjects","homosexuality",25,25,"Bisexual college students ; Coming out ( Sexual orientation ) ; Demonstrations ; Gay college students ; Gay rights ; Gays ; Gays ;","Homosexuality","; Lesbians ; Lesbians ; Sexual orientation ; Transgender college students ; Interviews ."
"the Michigan Equality records","umich-bhl-05122_109","subjects","homosexuality",13,13,"Anti-gay violence . ; Anti-LGBTQ + violence . ; Gay rights ;","Homosexuality","; LGBTQ + discrimination . ; LGBTQ + support groups . ; LGBTQ + victims ' rights . ; Queer political activists ; Police interactions"
"James W. Toy Papers","umich-bhl-9744_144","subjects","homosexuality",26,26,"AIDS ( Disease ) ; Coming out ( Sexual orientation ) ; Gay college students ; Gay liberation movement ; Gay men ; Gays ;","Homosexuality","; Homosexuality ; Homosexuality ; Lesbians ; Sexual orientation ; Gay rights ; Gays ; Demonstrations ; Transgender college students ; Transgender people"
"James W. Toy Papers","umich-bhl-9744_144","subjects","homosexuality",28,28,"Disease ) ; Coming out ( Sexual orientation ) ; Gay college students ; Gay liberation movement ; Gay men ; Gays ; Homosexuality ;","Homosexuality","; Homosexuality ; Lesbians ; Sexual orientation ; Gay rights ; Gays ; Demonstrations ; Transgender college students ; Transgender people"
"James W. Toy Papers","umich-bhl-9744_144","subjects","homosexuality",30,30,"; Coming out ( Sexual orientation ) ; Gay college students ; Gay liberation movement ; Gay men ; Gays ; Homosexuality ; Homosexuality ;","Homosexuality","; Lesbians ; Sexual orientation ; Gay rights ; Gays ; Demonstrations ; Transgender college students ; Transgender people"
"Coming Out Whole Conference Collection, 1986","umich-bhl-2014133_208","subjects","homosexuality",8,8,"Addicts . ; Gay college students ;","Homosexuality","; Lesbians ; Lesbians"
"Lemuel A. Johnson Papers, 1942-2002","umich-bhl-0574_248","bioghist","homosexuality",29,29,"the issue of homosexuality in African culture in < title render = "" italic "" > No Sweetness Here ? : ( dis ) Counting","Homosexuality","< / title > ( 1998 working drafts ) and < title render = "" italic "" > Mahmud Bilateral , or ( en )"
"Lemuel A. Johnson Papers, 1942-2002","umich-bhl-0574_248","bioghist","homosexuality",56,56,"/ title > ( 1998 working drafts ) and < title render = "" italic "" > Mahmud Bilateral , or ( en ) Countering","Homosexuality","< / title > ( 2001 and undated working drafts ) ."
"Lemuel A. Johnson Papers, 1942-2002","umich-bhl-0574_249","subjects","homosexuality",17,17,"African poetry . ; Blacks in literature . ; Poetry ; Eroticism in literature . ;","Homosexuality","; African poetry . ; African literature ."
"Beth Bashert Papers, 1988-2010","umich-bhl-04105_2","bioghist","lesbian",17,17,"In 1996 , she participated in the planning for a recreational center for the gay ,","lesbian",", bi-sexual , transgender ( GLBT ) community to be called the Jane Addams Memorial Center ."
"Kathleen Russell papers, 1997-2006","umich-bhl-2009149_6","bioghist","lesbian",29,29,"she was a member of the campus group Tri-Pride , which is an organization of social work students and professionals committed to empowering gay ,","lesbian",", bisexual , and transgendered people ( GLBT ) ."
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_13","subjects","lesbian",87,87,"of gays ; Religion . ; Runaway teenagers ; Same-sex marriage ; Social justice . ; Social work with gay youth ; Social work with","lesbian","youth ; Social work with transgender youth ; Transgender people ; Transgender people ; Transgender youth ; Women in Michigan . ; Women's music festivals"
"the Lansing Association for Human Rights records","umich-bhl-9951_31","bioghist","lesbian",19,19,"From the beginning , LAHR has been focusing on coordinating local , state , and national gay and","lesbian","activities and activism ."
"Michigan Campaign for Human Dignity Records","umich-bhl-0099_33","scopecontent","lesbian",21,21,"Affirmations Lesbian Gay Community Center , founded in 1988 , is a community based , direct service agency for the","lesbian","and gay community in southeastern Michigan ."
"Michigan Campaign for Human Dignity Records","umich-bhl-0099_34","bioghist","lesbian",27,27,"organization's goal was "" to strategically defeat specific ballot measures which would jeopardize present and future equal rights for all Michigan's citizens , specifically the","lesbian",", gay and bisexual citizens of this state . """
"Michigan Organization for Human Rights Records","umich-bhl-85287_39","abstract","lesbian",35,35,", served as resource , lobbying and educational agent for organizations and individuals engaged in struggle to eliminate all forms of discrimination , gay and","lesbian","rights became an early focus of MOHR ."
"Michigan Organization for Human Rights Records","umich-bhl-85287_41","bioghist","lesbian",24,24,"The organization met with many successes in its attempts to keep both the public and lawmakers informed about issues of concern to Michigan's","lesbian","and gay communities ."
"Michigan Organization for Human Rights Records","umich-bhl-85287_42","bioghist","lesbian",7,7,"Combined with the founding of new","lesbian","and gay male social and political organizations in the area's urban centers , this led to a diminution of M.O.H.R . ' s political effectiveness"
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_46","bioghist","lesbian",40,40,"Lesbians and Gays ( PFLAG ) meetings , the organization for parents , families , friends , and straight allies united with people who are","lesbian",", gay , bisexual , and transgender ."
"Lavender Information and Library Association records, 1989-2008","umich-bhl-9916_67","abstract","lesbian",20,20,"Organization established in 1989 by University of Michigan librarians and information science professionals and students to promote awareness of","lesbian",", gay , bisexual and transgender issues within the university libraries and School of Information ."
"Lavender Information and Library Association records, 1989-2008","umich-bhl-9916_68","scopecontent","lesbian",22,22,"Documentation details the events and activities of LILA as well as issues and events of general interest to the gay ,","lesbian",", bisexual and transgender community ."
"Lavender Information and Library Association records, 1989-2008","umich-bhl-9916_70","bioghist","lesbian",10,10,"The mission of LILA was to promote awareness of","lesbian",", gay , bisexual and transgender issues within the School of Information , the university libraries and throughout the university ."
"Spectrum Center records","umich-bhl-02139_74","bioghist","lesbian",10,10,"Initially heading the office were two individuals , a","lesbian","advocate Cynthia Gair , also known as Cindi , Cyndy , or Cindy Gair , and a gay male advocate James ( Jim ) W"
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_83","abstract","lesbian",8,8,"Web collection of websites created by various","lesbian",", gay , bisexual , and transgender organizations in the State of Michigan , archived by the Bentley Historical Library using the California Digital Library"
"Washtenaw Rainbow Action Project Records","umich-bhl-0268_100","abstract","lesbian",15,15,"Organization founded in 1995 to encourage increased visibility and acceptance and appreciation of the","lesbian","/ gay / bisexual and transgender community in Washtenaw County through education and political action ."
"Triangle Foundation Records","umich-bhl-0092_101","bioghist","lesbian",29,29,"a Detroit-based civil rights organization whose mission is "" to promote equality and to secure freedom from violence , intimidation and discrimination for gay ,","lesbian",", bisexual and transgender persons throughout Michigan . """
"Rudy Serra Papers, 1983-1984 and 1991-2002","umich-bhl-0595_123","bioghist","lesbian",29,29,"of the Stonewall Bar Association which assists legal professionals with an interest in sexual orientation issues and the law as it relates to gay ,","lesbian","and bisexual people ."
"Daniel R. Sivil Papers","umich-bhl-0167_124","abstract","lesbian",8,8,"Sivil was active in the gay and","lesbian","civil rights and advocacy movement of the 1980s ."
"Daniel R. Sivil Papers","umich-bhl-0167_125","scopecontent","lesbian",13,13,"The papers of Daniel Ross Sivil provide insight into the gay and","lesbian","civil rights and advocacy movement of the early 1980s on both a personal and professional level ."
"Daniel R. Sivil Papers","umich-bhl-0167_126","bioghist","lesbian",10,10,"He played an important role in the gay and","lesbian","civil rights and advocacy movement of the 1980s in Detroit , the state of Michigan , and nationally through his work in local and national"
"Triangle Foundation Records","umich-bhl-0092_131","abstract","lesbian",8,8,"The Triangle Foundation is a gay and","lesbian","civil rights and advocacy organization , located in Detroit , Michigan and formed in 1990 ."
"James W. Toy Papers","umich-bhl-9744_133","bioghist","lesbian",36,36,"Michigan in the summer of 1970 , Toy began urging the creation of a program to address the needs of the university's gay male and","lesbian","students ."
"James W. Toy Papers","umich-bhl-9744_137","bioghist","lesbian",4,4,"Toy and the","lesbian","advocates trained group facilitators , already qualified to serve as peer counselors trained by LGBPO , to co-facilitate "" coming out "" groups for individuals"
"James W. Toy Papers","umich-bhl-9744_137","bioghist","lesbian",44,44,"LGBPO , to co-facilitate "" coming out "" groups for individuals seeking to affirm their sexual orientation to themselves , to other members of the","lesbian","and gay male communities , and to heterosexual people ."
"James W. Toy Papers","umich-bhl-9744_139","bioghist","lesbian",9,9,"The Human Sexuality Office under Toy's and the","lesbian","advocates ' leadership helped students and other lesbians and gay men to organize groups to meet specific needs ."
"James W. Toy Papers","umich-bhl-9744_141","bioghist","lesbian",19,19,"Within his diocese , he has worked long and consistently to make the church more welcoming to the","lesbian","and gay male community ."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_166","bioghist","lesbian",14,14,"On February 12 , 1997 , Tri-Pride , a group of gay /","lesbian","/ bisexual / transsexual social work and professional students from Eastern Michigan University , were denied service at Hansen's Standard Printing in Ypsilanti where they"
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_168","bioghist","lesbian",49,49,"are committed to the empowerment of Lesbian , Gay , and Bisexual People . "" The group's goals were to promote awareness of gay /","lesbian","/ bisexual / transsexual issues , foster social action and change on issues concerning gay / lesbian / bisexual / transsexual community , and to"
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_168","bioghist","lesbian",66,66,"goals were to promote awareness of gay / lesbian / bisexual / transsexual issues , foster social action and change on issues concerning gay /","lesbian","/ bisexual / transsexual community , and to collaborate with and support other community organizations ."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_169","bioghist","lesbian",14,14,"The Mayor and City Council also apologized to members of the gay /","lesbian","/ bisexual / transsexual community for some of the comments directed at them by members of the public during the HRC meetings ."
"Billie Louise Edwards Papers, 1981-1993","umich-bhl-0591_172","abstract","lesbian",10,10,"Billie Louise Edwards was a feminist , activist ,","lesbian",", motorcyclist , co-parent , Metropolitan Community Church preacher , and clinical psychologist ; she was also co-director of the University of Michigan Lesbian-Gay Male"
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_182","abstract","lesbian",17,17,"Affirmations Lesbian / Gay Community Center was established in 1989 to serve as a resource to","lesbian",", gay , bisexual and transgender individuals in the greater Detroit area ."
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_185","bioghist","lesbian",32,32,"organization adopted a new mission statement in 1997 : "" Affirmations Lesbian / Gay Community Center works to achieve respect and equality for gay ,","lesbian",", bisexual and transgender people through social service programs , advocacy , and education ."
"American Friends Service Committee. Michigan Area Office records, 1956-2002","umich-bhl-85478_189","abstract","lesbian",62,62,"criminal justice system , and peace education ( especially relating to the Middle East and the conflict between Israel and the Palestinians ) , and","lesbian","/ gay issues ."
"Lisa Marshall Bashert Papers, 1971-2016","umich-bhl-0526_203","scopecontent","lesbian",22,22,"Another series in the collection , Local Organization and Projects , contains files related to environmental sustainability , and gay and","lesbian","rights organizations in Ypsilanti during the 2000s ."
"Paul C. Heaton Papers, 1997-2001","umich-bhl-0679_212","bioghist","lesbian",26,26,"The human rights ordinance controversy surfaced in Ypsilanti in February 1997 when a local print shop refused to print raffle tickets for Tri-Pride , a","lesbian",", gay , bisexual and transgender Eastern Michigan student group because of the type of group that they represented ."
"Paul C. Heaton Papers, 1997-2001","umich-bhl-0679_215","bioghist","lesbian",51,51,"ordinance , regulation , rule or policy which grants special minority or protected status , quota preference or other preferential treatment based upon homosexual ,","lesbian",", or bisexual orientation , conduct , or relationship . "" The ballot proposal failed after a November 6 , 2001 vote ."
"Ann Heler Papers, 1993-1998","umich-bhl-2011064_217","abstract","lesbian",22,22,"Papers of Ann Heler , a resident of Ferndale , Mich . , who was a leader of the gay and","lesbian","community ."
"Ann Heler Papers, 1993-1998","umich-bhl-2011064_219","bioghist","lesbian",9,9,"and an active member of the gay and","lesbian","community ."
"Huron Valley Community Church (Ann Arbor, Mich.) Records, 1984-1994","umich-bhl-952_222","bioghist","lesbian",32,32,"was significantly affected by debate over affiliation with the Universal Fellowship of Metropolitan Community Churches ( FMCC ) , a national network of gay and","lesbian","ministries ."
"Huron Valley Community Church (Ann Arbor, Mich.) Records, 1984-1994","umich-bhl-952_223","bioghist","lesbian",18,18,"Huron Valley Community Church was formed in 1985 as an independent ecumenical church to minister to the","lesbian","and gay male communities of the Huron Valley area ."
"Huron Valley Community Church (Ann Arbor, Mich.) Records, 1984-1994","umich-bhl-952_226","scopecontent","lesbian",18,18,"Newspaper Clippings , 1987-1994 , are a rich source for information on subjects affecting the gay and","lesbian","community in Ann Arbor ."
"Huron Valley Community Church (Ann Arbor, Mich.) Records, 1984-1994","umich-bhl-952_229","abstract","lesbian",13,13,"Independent ecumenical church established in 1985 to minister to the gay and","lesbian","community of Ann Arbor , Michigan ."
"Lisa Marshall Bashert Papers, 1971-2016","umich-bhl-0526_259","abstract","lesbian",6,6,"Lisa Marshall Bashert is a","lesbian","feminist witch from Ypsilanti , Michigan ."
"Lisa Marshall Bashert Papers, 1971-2016","umich-bhl-0526_260","scopecontent","lesbian",39,39,"of diaries , musings and other personal reflections about such topics as her sexuality , her personal relationship , and her involvement in feminist ,","lesbian",", and pagan organizations ."
"Lisa Marshall Bashert Papers, 1971-2016","umich-bhl-0526_262","bioghist","lesbian",6,6,"Lisa Marshall Bashert is a","lesbian","feminist witch from Ypsilanti , Michigan ."
"Washtenaw Rainbow Action Project Records","umich-bhl-0268_266","bioghist","lesbian",35,35,"MCHD then decided to focus their attention on grassroot work within Washtenaw County , devoting themselves to increased visibility and acceptance and appreciation of the","lesbian","/ gay / bisexual and transgender community through education and political action ."
"Coming Out Whole Conference Collection, 1986","umich-bhl-2014133_271","scopecontent","lesbian",21,21,"The collection will be used by those seeking information on the relationship between sexuality and addictions or exploring how the","lesbian","community addressed addiction in the mid-1980s ."
"the Lesbian Moms' Network records","umich-bhl-2014063_281","abstract","lesbian",3,3,"Network of","lesbian","parents and their children in Ann Arbor / Ypsilanti , Mich ."
"the Lesbian Moms' Network records","umich-bhl-2014063_284","bioghist","lesbian",8,8,"Founded in 2000 to create network of","lesbian","parents and their children in Ann Arbor / Ypsilanti , Mich ."
"Barbara Hays-Hamilton Papers","umich-bhl-9777_300","bioghist","lesbian",12,12,"These included positions such as chair of the ERA and the","lesbian","rights task forces and administrative vice president ."
"Michigan Organization for Human Rights Records","umich-bhl-85287_324","bioghist","lesbian",14,14,"Other successful M.O.H.R . accomplishments include several court cases involving the rights of","lesbian","mothers and of persons with AIDS ; continuous lobbying of the Michigan legislature for increased funding of AIDS research , education , and care ;"
"James W. Toy Papers","umich-bhl-9744_335","bioghist","lesbian",12,12,"Under the determined and compassionate leadership of Toy and the various","lesbian","advocates , the years since 1971 have seen many changes , the most important being the gradual recognition of the level of discrimination and harassment"
"Craig Covey papers, 1987-2010","umich-bhl-9610_354","scopecontent","lesbian",16,16,"There is documentation of his campaign for office and his participation in a gay and","lesbian","neighborhood association , Friends and Neighbors of Ferndale ( FANS for short ) ."
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_13","subjects","lesbian",48,48,"Gay youth ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ; GLBT community of Michigan . ; Homosexuality ;","Lesbian","youth ; Lesbians ; Lesbians ; Lesbians ; Parents of gays ; Parents of gays ; Religion . ; Runaway teenagers ; Same-sex marriage ;"
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_23","scopecontent","lesbian",5,5,"The Web Archive of","Lesbian",", Gay , Bisexual , and Transgender Community of Michigan collection contains archived websites created by various LGBT groups and individuals of the State of"
"Anonymous Association of Suburban People officer’s papers, 1973-2004","umich-bhl-2013071_26","bioghist","lesbian",28,28,"1980s the ASP had become the largest LGBT organization in Michigan , and in 1985 it changed its name to South Eastern Michigan Gay and","Lesbian","Association ( SEMGLA ) to more accurately describe its mission ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_28","subjects","lesbian",13,13,"Gay activists ; Gay activists ; Gay youth ; Gay youth ;","Lesbian","youth ; Lesbian youth ; LGBT community ; LGBT community of Michigan ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_28","subjects","lesbian",16,16,"Gay activists ; Gay activists ; Gay youth ; Gay youth ; Lesbian youth ;","Lesbian","youth ; LGBT community ; LGBT community of Michigan ."
"the Lansing Association for Human Rights records","umich-bhl-9951_29","bioghist","lesbian",14,14,"published the first article in Michigan about AIDS and also started the Lansing","Lesbian","/ Gay Hotline as a way of supporting the LGBT community ."
"Michigan Campaign for Human Dignity Records","umich-bhl-0099_33","scopecontent","lesbian",2,2,"Affirmations","Lesbian","Gay Community Center , founded in 1988 , is a community based , direct service agency for the lesbian and gay community in southeastern Michigan"
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_47","bioghist","lesbian",8,8,"Michael Neubecker is member of Gay ,","Lesbian","& amp ; Straight Education Network ( GLSEN ) / Detroit and PFLAG liaison , member of Triangle Foundation Board of Advisors , and American"
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_49","subjects","lesbian",6,6,"Gay teenagers ; Gays ;","Lesbian","teenagers ; Lesbians ; Parents of gays ; Transsexuals"
"Lavender Information and Library Association records, 1989-2008","umich-bhl-9916_69","bioghist","lesbian",10,10,"The original name of the organization , Gay and","Lesbian","Library Staff ( GALLS ) reflected its founding membership ."
"Spectrum Center records","umich-bhl-02139_79","bioghist","lesbian",30,30,"office celebrated its 40th anniversary in 2011 by holding a series of celebratory events including inviting alumni back to campus and hosting the Midwest Bisexual","Lesbian","Gay Transgender Ally College Conference ( MBLGTACC ) ."
"University of Michigan assorted publications, circa 1920 - 2016","umich-bhl-0715_97","corpnames","lesbian",3,3,"Gay and","Lesbian","Alumni Society . ; University of Michigan ."
"Provost and Executive Vice-President for Academic Affairs (University of Michigan) Supplemental Files","umich-bhl-87365-3_99","corpnames","lesbian",13,13,"Provost's Task Force on the Campus Climate for Transgender , Bisexual ,","Lesbian",", and Gay Faculty , Staff , and Students . ; University of Michigan . ; University of Michigan ."
"Washtenaw Rainbow Action Project Records","umich-bhl-0268_103","bioghist","lesbian",33,33,"was able to expand their involvement in such political action efforts as National Coming Out Day , and such educational endeavors as the Gay ,","Lesbian",", Straight Education Network ( GLSEN ) ."
"Washtenaw Rainbow Action Project Records","umich-bhl-0268_107","corpnames","lesbian",15,15,"Washtenaw Rainbow Action Project . ; Boy Scouts of America . ; Gay ,","Lesbian",", and Straight Education Network . ; Human Rights Campaign ( U.S . ) ; Jim Toy Community Center . ; Michigan Campaign for Human"
"Kathleen Russell papers, 1997-2006","umich-bhl-2009149_119","corpnames","lesbian",1,1,"","Lesbian",", Gay , Bisexual and Transgendered Resource Center . ; Eastern Michigan University . ; Ypsilanti Campaign for Equality ."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_165","bioghist","lesbian",11,11,"Duty first became a member of the National Gay and","Lesbian","Task Force in 1976 ."
